Unnamed: 0,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4
4272,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
4273,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
4274,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
4275,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
4276,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
4277,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
4278,Typhoid,High fever, Weakness, Abdominal pain, Rash
4279,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
4280,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
4281,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
4282,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
4283,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
4284,AIDS,Fever, Fatigue, Weight loss, Frequent infections
4285,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
4286,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
4287,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4288,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
4289,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
4290,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
4291,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
4292,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
4293,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
4294,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
4295,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
4296,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
4297,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
4298,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
4299,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
4300,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
4301,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
4302,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
4303,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
4304,Common Cold,Sneezing, Runny nose, Sore throat, Cough
4305,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4306,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4307,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4308,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4309,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4310,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4311,Dermatitis,Itching, Redness, Swelling, Skin irritation
4312,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4313,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4314,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4315,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4316,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4317,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4318,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4319,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4320,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4321,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4322,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4323,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4324,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4325,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4326,Gout,Joint pain, Redness, Swelling, Warmth
4327,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4328,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4329,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4330,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4331,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4332,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4333,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4334,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
4335,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
4336,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
4337,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
4338,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
4339,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
4340,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
4341,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
4342,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
4343,Impetigo,Red sores, Itching, Blisters, Skin crusting
4344,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
4345,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
4346,Influenza,Fever, Chills, Body aches, Sore throat
4347,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
4348,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
4349,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
4350,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
4351,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
4352,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
4353,Malaria,High fever, Chills, Sweating, Muscle pain
4354,Measles,Fever, Rash, Cough, Runny nose
4355,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
4356,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
4357,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
4358,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
4359,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
4360,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
4361,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
4362,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
4363,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
4364,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
4365,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
4366,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
4367,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
4368,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
4369,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
4370,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
4371,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
4372,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
4373,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
4374,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
4375,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
4376,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
4377,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
4378,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
4379,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
4380,Typhoid,High fever, Weakness, Abdominal pain, Rash
4381,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
4382,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
4383,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
4384,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
4385,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
4386,AIDS,Fever, Fatigue, Weight loss, Frequent infections
4387,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
4388,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
4389,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4390,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
4391,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
4392,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
4393,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
4394,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
4395,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
4396,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
4397,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
4398,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
4399,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
4400,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
4401,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
4402,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
4403,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
4404,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
4405,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
4406,Common Cold,Sneezing, Runny nose, Sore throat, Cough
4407,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4408,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4409,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4410,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4411,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4412,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4413,Dermatitis,Itching, Redness, Swelling, Skin irritation
4414,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4415,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4416,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4417,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4418,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4419,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4420,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4421,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4422,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4423,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4424,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4425,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4426,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4427,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4428,Gout,Joint pain, Redness, Swelling, Warmth
4429,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4430,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4431,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4432,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4433,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4434,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4435,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4436,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
4437,Herniated Disc,Back pain, Numbness, Muscle weakness, Leg pain
4438,Herpes Zoster (Shingles),Painful rash, Burning sensation, Tingling, Itching
4439,Hodgkin’s Lymphoma,Swollen lymph nodes, Fatigue, Fever, Night sweats
4440,Hyperlipidemia,High cholesterol, Fatigue, Chest pain, Xanthomas
4441,Hypertension,Headaches, Dizziness, Nosebleeds, Vision problems
4442,Hyperthyroidism,Nervousness, Weight loss, Rapid heartbeat, Sweating
4443,Hypoglycemia,Shakiness, Sweating, Confusion, Hunger
4444,Hypothyroidism,Fatigue, Weight gain, Cold intolerance, Depression
4445,Impetigo,Red sores, Itching, Blisters, Skin crusting
4446,Indigestion,Bloating, Upper abdominal pain, Nausea, Heartburn
4447,Infectious Mononucleosis,Fatigue, Sore throat, Swollen lymph nodes, Fever
4448,Influenza,Fever, Chills, Body aches, Sore throat
4449,Interstitial Cystitis,Bladder pain, Frequent urination, Pelvic discomfort, Urgency
4450,Iron Deficiency,Fatigue, Weakness, Pale skin, Dizziness
4451,Iron Deficiency Anemia,Fatigue, Weakness, Pale complexion, Shortness of breath
4452,Jaundice,Yellowing of skin, Fatigue, Dark urine, Itching
4453,Lupus (SLE),Joint pain, Fatigue, Rash, Fever
4454,Major Depressive Disorder,Persistent sadness, Fatigue, Sleep issues, Loss of interest
4455,Malaria,High fever, Chills, Sweating, Muscle pain
4456,Measles,Fever, Rash, Cough, Runny nose
4457,Meningitis (Bacterial),Neck stiffness, Severe headache, Fever, Nausea
4458,Menstrual Cramps,Lower abdominal cramps, Nausea, Headache, Diarrhea
4459,Migraine,Throbbing headache, Nausea, Sensitivity to light, Aura
4460,Morning Sickness,Nausea, Vomiting, Fatigue, Food aversions
4461,Motion Sickness,Nausea, Dizziness, Sweating, Vomiting
4462,Multiple Sclerosis,Numbness, Vision problems, Weakness, Balance issues
4463,Muscle Overuse,Soreness, Swelling, Pain, Fatigue
4464,Muscle Strain,Muscle stiffness, Pain, Limited movement, Swelling
4465,Osteoarthritis,Joint pain, Stiffness, Swelling, Limited mobility
4466,Panic Disorder,Panic attacks, Rapid heartbeat, Trembling, Sweating
4467,Paralysis (Brain Hemorrhage),Sudden weakness, Numbness, Slurred speech, Loss of balance
4468,Parkinson’s Disease,Tremors, Slow movements, Stiffness, Balance problems
4469,Peptic Ulcer Disease,Burning stomach pain, Nausea, Bloating, Weight loss
4470,Pneumonia,Cough, Fever, Chest pain, Shortness of breath
4471,Polycystic Ovary Syndrome (PCOS),Irregular periods, Weight gain, Acne, Excess hair growth
4472,Psoriasis,Red patches, Scaling skin, Itching, Joint pain
4473,Respiratory Infection,Cough, Fever, Sore throat, Fatigue
4474,Rheumatoid Arthritis,Joint stiffness, Swelling, Pain, Fatigue
4475,Sciatica,Lower back pain, Shooting leg pain, Numbness, Tingling
4476,Sleep Apnea,Loud snoring, Daytime sleepiness, Headaches, Irritability
4477,Strep Throat,Sore throat, Painful swallowing, Fever, Swollen glands
4478,Tension Headache,Dull headache, Pressure around head, Fatigue, Irritability
4479,Thyroid Disorder,Weight changes, Fatigue, Mood swings, Hair thinning
4480,Tonsillitis,Sore throat, Swollen tonsils, Fever, Difficulty swallowing
4481,Tuberculosis,Persistent cough, Fever, Night sweats, Weight loss
4482,Typhoid,High fever, Weakness, Abdominal pain, Rash
4483,Urinary Tract Infection,Burning urination, Frequent urination, Cloudy urine, Pain
4484,Varicose Veins,Leg pain, Swelling, Itching, Visible veins
4485,Vertigo (Paroxysmal Positional Vertigo),Dizziness, Nausea, Loss of balance, Spinning sensation
4486,Vision Fatigue,Eye strain, Blurred vision, Headache, Dry eyes
4487,Whooping Cough (Pertussis),Severe cough, Runny nose, Fever, Vomiting after coughing
4488,AIDS,Fever, Fatigue, Weight loss, Frequent infections
4489,Acne,Pimples, Blackheads, Whiteheads, Skin inflammation
4490,Alcoholic Hepatitis,Jaundice, Abdominal pain, Fatigue, Nausea
4491,Allergic Reaction,Hives, Swelling, Itching, Shortness of breath
4492,Allergy,Sneezing, Runny nose, Itchy eyes, Skin rash
4493,Anxiety Disorder,Restlessness, Rapid heartbeat, Sweating, Irritability
4494,Appendicitis,Lower right abdominal pain, Nausea, Vomiting, Fever
4495,Arthritis,Joint pain, Swelling, Stiffness, Reduced motion
4496,Asthma,Wheezing, Shortness of breath, Chest tightness, Coughing
4497,Bell’s Palsy,Facial drooping, Drooling, Loss of taste, Tearing
4498,Bronchial Asthma,Wheezing, Coughing, Chest tightness, Shortness of breath
4499,Bronchitis (Acute),Cough, Sore throat, Chest discomfort, Fatigue
4500,COVID-19,Fever, Cough, Shortness of breath, Loss of taste/smell
4501,Celiac Disease,Diarrhea, Bloating, Fatigue, Weight loss
4502,Cervical Spondylosis,Neck pain, Stiffness, Headache, Numbness in limbs
4503,Chickenpox,Itchy rash, Fever, Fatigue, Blisters
4504,Cholecystitis,Abdominal pain, Nausea, Vomiting, Fever
4505,Chronic Bronchitis,Chronic cough, Sputum production, Fatigue, Breathlessness
4506,Chronic Cholestasis,Jaundice, Fatigue, Itching, Dark urine
4507,Chronic Fatigue Syndrome,Fatigue, Memory issues, Muscle pain, Sleep disturbances
4508,Common Cold,Sneezing, Runny nose, Sore throat, Cough
4509,Conjunctivitis,Redness in eye, Discharge, Itching, Swelling
4510,Coronary Artery Disease,Chest pain, Shortness of breath, Fatigue, Palpitations
4511,Crohn’s Disease,Diarrhea, Abdominal pain, Weight loss, Fatigue
4512,Cystic Fibrosis,Persistent cough, Lung infections, Fatigue, Poor growth
4513,Deep Vein Thrombosis,Leg swelling, Pain, Warmth, Redness
4514,Dengue,High fever, Severe headache, Joint/muscle pain, Rash
4515,Dermatitis,Itching, Redness, Swelling, Skin irritation
4516,Diabetes,Increased thirst, Frequent urination, Fatigue, Blurred vision
4517,Dimorphic Hemorrhoids (Piles),Pain during bowel movements, Bleeding, Swelling, Discomfort
4518,Diverticulitis,Abdominal pain, Bloating, Fever, Nausea
4519,Drug Reaction,Rash, Itching, Swelling, Breathing difficulty
4520,Eczema,"Red, itchy skin", Flaking, Cracks, Inflammation
4521,Endometriosis,Pelvic pain, Heavy periods, Painful intercourse, Fatigue
4522,Epilepsy,Seizures, Confusion, Loss of consciousness, Muscle jerks
4523,Fibromyalgia,Widespread pain, Fatigue, Sleep disturbances, Memory issues
4524,Fungal Infection,"Red, itchy rash", Cracking, Peeling skin,
4525,GERD,Heartburn, Regurgitation, Chest pain, Difficulty swallowing
4526,Gallstones,Right upper abdominal pain, Nausea, Vomiting, Indigestion
4527,Gastritis,Burning stomach pain, Nausea, Bloating, Vomiting
4528,Gastroenteritis,Diarrhea, Vomiting, Abdominal cramps, Fever
4529,Glaucoma,Eye pain, Blurred vision, Halos around lights, Nausea
4530,Gout,Joint pain, Redness, Swelling, Warmth
4531,Heart Attack,Chest pain, Sweating, Nausea, Shortness of breath
4532,Heat Exhaustion,Heavy sweating, Dizziness, Weakness, Headache
4533,Hemophilia,Easy bruising, Prolonged bleeding, Joint swelling, Fatigue
4534,Hepatitis A,Fever, Fatigue, Jaundice, Abdominal pain
4535,Hepatitis B,Fatigue, Joint pain, Dark urine, Jaundice
4536,Hepatitis C,Fatigue, Nausea, Jaundice, Abdominal discomfort
4537,Hepatitis D,Abdominal pain, Jaundice, Fatigue, Dark urine
4538,Hepatitis E,Fever, Nausea, Jaundice, Loss of appetite
